num,Ticker
537,TECK
538,IHG
539,FDS
540,NLY
541,SBSW
542,MTN
543,ELS
544,RPM
545,EDR
546,ALLE
547,BG
548,AGL
549,BWA
550,TPL
551,NTCO
552,TTC
553,MPW
554,TREX
555,NI PR B
556,LEVI
557,BF.A
558,QS
559,CHGG
560,IRM
561,TAP
562,FND
563,ATH
564,CPT
565,ATHM
566,BCH
567,RDY
568,AMH
569,BKI
570,BAH
571,LEA
572,DAR
573,UWMC
574,AGCO
575,AOS
576,LW
577,GME
578,WTRG
579,TEVA
580,CF
581,PNR
582,RS
583,BSAC
584,BAP
585,QGEN
586,GL
587,WAL
588,AFG
589,OC
590,CMA
591,HUBB
592,BILL
593,CLR
594,SSL
595,VER
596,AVLR
597,MMP
598,SC
599,GFL
600,KL
601,FHN
602,WU
603,WFG
604,CABO
605,NCLH
606,ATR
607,CLF
608,ACM
609,HEI.A
610,LAD
611,RHI
612,NI
613,TUYA
614,BEP
615,CSL
616,PEN
617,BHC
618,JLL
619,DLB
620,AIZ
621,Y
622,RL
623,DNB
624,WSO
625,PNW
626,ARMK
627,AQN
628,DECK
629,AEG
630,KGC
631,ESTC
632,COLD
633,NLSN
634,KSS
635,UGI
636,SCI
637,AU
638,PSFE
639,STOR
640,RGA
641,ST
642,BERY
643,EBR
644,KIM
645,OSK
646,MRO
647,ACI
648,ALV
649,BC
650,ICL
651,WEX
652,USFD
653,VNO
654,FRT
655,JNPR
656,G
657,GFI
658,PII
659,HII
660,CAE
661,PSO
662,CPRI
663,SEE
664,WES
665,DXC
666,AN
667,SITE
668,OHI
669,NRG
670,EHC
671,TRGP
672,CUBE
673,VOYA
674,ITT
675,ARW
676,GLOB
677,BFAM
678,NNN
679,ALK
680,JEF
681,PVH
682,GWRE
683,PTR
684,CIEN
685,TFII
686,MTZ
687,RNR
688,TIXT
689,THO
690,DCI
691,TOL
692,KNX
693,LSPD
694,VRT
695,OMF
696,IAA
697,H
698,PSXP
699,MNSO
700,ORI
701,CFR
702,PLAN
703,JBL
704,DKS
705,ADT
706,AXTA
707,KRC
708,SKX
709,AER
710,GGB
711,VST
712,WMS
713,CHE
714,YETI
715,COTY
716,HBI
717,TPX
718,LEG
719,AZEK
720,HOG
721,SF
722,TX
723,MBT
724,HEI
725,POST
726,PAG
727,AA
728,NYT
729,HST
730,BYD
731,BLD
732,OLN
733,REXR
734,GMED
735,SNV
736,AMG
737,LSI
738,RBA
739,FAF
740,WF
741,CCJ
742,PFGC
743,NVST
744,HRC
745,STWD
746,XEC
747,LPX
748,VAC
749,TV
750,GIL
751,ELP
752,PB
753,X
754,THC
755,PLNT
756,BBU
757,SON
758,HUN
759,TKR
760,SMAR
761,MDU
762,COG
763,GOTU
764,OGE
765,FOUR
766,AYI
767,WH
768,OVV
769,EME
770,MAN
771,EVR
772,CHPT
773,YSG
774,BRX
775,AIRC
776,NOV
777,HESM
778,FL
779,FVRR
780,ARD
781,BJ
782,SQM
783,PRI
784,COMP
785,JHG
786,TMX
787,MSA
788,FR
789,KT
790,INGR
791,SNX
792,RXN
793,ACC
794,BWXT
795,NCR
796,NVTA
797,EGP
798,HTA
799,CACI
800,CHH
801,UNM
802,RBC
803,SKLZ
804,EXP
805,JWN
806,AEO
807,HHC
808,ADS
809,GRUB
810,CLGX
811,SHLX
812,HLF
813,WFC PR L
814,CFX
815,VVV
816,CR
817,PHI
818,HFC
819,CC
820,KBR
821,STAG
822,ELY
823,PRGO
824,MMS
825,AI
826,GTLS
827,TIMB
828,DEI
829,VNT
830,ESNT
831,AL
832,ESI
833,ASGN
834,STZ.B
835,ORCC
836,GPK
837,FLS
838,UAA
839,HAYW
840,NYCB
841,VMI
842,NVRO
843,TNL
