Number,Ticker,KoreanTicker
157,BMTX,BM 테크놀로지스
158,VGZ,비스타 골드
159,ADRA.U,Adara Acquisition Corp
160,SACH,새켐 캐피털
161,GLU,가벨리 글로벌 유틸리티 & 인컴
162,AE,아담스 리소스 & 에너지
163,HLM PR,힐만 그룹 캐피탈 트러스트 Pref SHS 11.6%
164,CHAQ,샤르단 헬스케어 어퀴지션 2
165,PED,페데브코
166,APT,알파 프로 테크
167,ISDR,이슈어 다이렉트
168,ELA,엔벨라
169,ARMP,아마타 파머수티컬스
170,GLV,클러프 글로벌 디비던드 앤 인컴 펀드
171,AIM,AIM 이뮤노테크
172,CEV,이튼 밴스 캘리포니아 뮤니스펄 인컴 트러스트
173,CMT,코어 몰딩 테크놀로지스
174,CHFW.U,Consonance-HFW Acquisition Corp
175,PHGE.U,Biomx Inc Unit
176,BTN,밸런타인 스트롱
177,GGN PR B,GAMCO 글로벌 골드 내추럴 리소스 & 인컴 트러스트 Pref SHS Series B
178,EXN,Excellon Resources Inc
179,UAMY,유나이티드 스테이츠 앤티모니
180,CHAQ.U,Chardan Healthcare Acquisition 2 Corp Unit
181,IOR,인컴 오퍼튜니티 리얼티 인베스터
182,VOLT,볼트 인포메이션 사이언스
183,INUV,이누보
184,ELMD,일렉트로메드
185,EVY,이튼 밴스 뉴욕 뮤니시펄 인컴 트러스트
186,NBW,Neuberger Berman California Municipal Fund Inc
187,DSS,다큐먼트 시큐리티 시스템즈
188,NTIP,네트워크-1 테크놀로지스
189,SIF,SIFCO 인더스트리
190,OGEN,오라제닉스
191,AAU,알마덴 미네랄스
192,DIT,암콘 디스트리뷰팅
193,WYY,와이드포인트
194,FCO,Aberdeen Global Income Fund Inc
195,OGCP,엠파이어 스테이트 리얼티 OP
196,BRG PR D,블루록 레지덴셜 그로스 리츠 Pref SHS Series D
197,FRD,프리드먼 인더스트리스
198,VCF,Delaware Investments Colorado Municipal Income Fund Inc
199,JOB,GEE 그룹
200,NBO,Neuberger Berman New York Municipal Fund Inc
201,VFL,Delaware Investments National Municipal Income Fund
202,IGC,인디아 글로벌리제이션 캐피털
203,SYN,신세틱 바이오로직스
204,AMBO,앰보우 에듀케이션 홀딩스 ADR Class A
205,TPHS,트리니티 플레이스 홀딩스
206,BRG PR C,블루록 레지덴셜 그로스 리츠 Pref SHS Series C
207,LGL,LGL 그룹
208,BWL.A,보울 아메리카
209,BKTI,BK 테크놀러지
210,MYO,마이모
211,GLU PR B,가벨리 글로벌 유틸리티 & 인컴 Pref SHS Series B
212,CHFW,컨소넌스-HFW 애퀴지션 Class A
213,CVU,CPI 에어로스트럭처스
214,AGE,AgeX 테라퓨틱스
215,PLYM PR A,플리머스 인더스트리얼 리츠 Pref SHS Series A
216,ITP,IT 테크 패키징
217,COHN,코헨 앤 컴퍼니
218,GLU PR A,가벨리 글로벌 유틸리티 & 인컴 Pref SHS Series A
219,NAVB,나비디아 바이오파마슈티컬스
220,TMBR,팀버 파마슈티컬
221,CDOR,콘도 호스피탈리티 트러스트
222,BDL,플래니건스 엔터프라이시스
223,DXF,던신 파이낸셜 홀딩즈 ADR
224,PCG PR D,퍼시픽 가스 & 일렉트릭 5% 1st Red Pref Stock
225,HWM PR,하우멧 에어로스페이스 Pref SHS
226,IMH,임팩 모기지 홀딩스
227,OBLG,오블롱
228,AIRI,에어 인더스트리스 그룹
229,UFAB,유니크 패브리케이팅
230,ESP,에스페이 매뉴팩쳐링 & 일렉트로닉스
231,WTT,와이어리스 텔레콤 그룹
232,FSI,플레서블 솔류션 인터네셔널
233,SNMP,이볼브 트랜지션 인프라스트럭쳐 LP
234,NNVC,나노바이리사이드스
235,NSPR,인스파이어MD
236,FTNW,FTE 네트워크
237,INDO,인도네시아 에너지 코퍼레이션
238,PZG,파라마운트 골드 네바다
239,PLAG,플래닛 그린 홀딩스
240,KIQ,켈소 테크놀로지스
241,XPL,솔리타리오 징크
242,AAMC,알티소스 에셋 매니지먼트
243,GOED,1847 Goedeker Inc
244,DXR,닥소
