Number,Ticker,KoreanTicker
185,ACGL,아치 캐피털 그룹
186,ON,ON 세미콘덕터
187,HBAN,헌팅턴 뱅크셰어스
188,TECH,바이오-테크네
189,CG,칼라일 그룹
190,TXG,10X 제노믹스 Inc
191,MDB,몽고DB Class A
192,WIX,윅스닷컴
193,ALNY,앨나일램 파마슈티컬스
194,MPWR,모놀리식 파워 시스템즈
195,PTC,PTC Inc
196,NUAN,누안스 커뮤니케이션스
197,CTXS,시트릭스 시스템즈
198,ENTG,인테그리스
199,FANG,다이아몬드백 에너지
200,LKQ,LKQ Corp
201,ZLAB,자이 랩 ADR
202,XRAY,덴츠플라이 시로나
203,NICE,나이스 ADR
204,BMRN,바이오마린 파마슈티컬
205,WYNN,윈 리조트
206,LNT,얼라이언트 에너지
207,AFRM,어펌 홀딩스 Class A
208,CGNX,코그넥스
209,IEP,Icahn Enterprises LP Unit
210,AAL,아메리칸 에어라인스 그룹
211,GDRX,굿알엑스 홀딩스 Class A
212,HAS,해즈브로
213,GH,가단트 헬쓰
214,SBNY,시그니처 뱅크
215,ABMD,어바이오메드
216,BSY,벤틀리 시스템즈 Class B
217,GDS,GDS 홀딩스 ADR
218,PENN,펜 내셔널 게이밍
219,ARGX,아겐스 SE ADR
220,CHRW,CH 로빈슨 월드와이드
221,STLD,스틸 다이내믹스
222,NVAX,노바백스
223,OTEX,오픈 텍스트
224,LPLA,LPL 파이낸셜 홀딩스
225,NWL,뉴웰브랜즈
226,FOXA,Fox Corp Class A
227,MASI,마시모
228,NDSN,노드슨
229,NLOK,노턴라이프락
230,HST,Host Hotels & Resorts Inc
231,JKHY,잭 헨리 & 어소시에이츠
232,OZON,오존홀딩스 ADR
233,UHAL,아머코
234,ICLR,아이콘
235,ZNGA,징가
236,PLUG,플러그 파워
237,HSIC,헨리 셰인
238,MORN,모닝스타
239,FIVN,파이브나인
240,IQ,IQIYI(아이치이) ADR Class A
241,SEDG,솔라에지 테크놀로지스
242,EWBC,이스트 웨스트 뱅코프
243,PRAH,PRA 헬스 사이언시스
244,WB,웨이보 ADR Class A
245,ARVL,어라이벌 그룹
246,CREE,크리
247,FFIV,F5 네트웍스
248,REG,리젠시 센터스
249,BLDR,빌더스 퍼스트소스
250,FIVE,파이브 빌로우
251,PLTK,플레이티카 홀딩
252,GLPI,게이밍 앤드 레저 프로퍼티스
253,IPGP,IPG 포토닉스
254,DISCK,디스커버리 홀딩스 Series C
255,LBTYK,리버티 글로벌 Class C
256,LAMR,라마 애드버타이징 Class A
257,BRKR,브루커
258,OLED,유니버설 디스플레이
259,OPEN,오픈도어 테크놀로지스 Class A
260,RGEN,레플리젠
261,NWSA,뉴스 코퍼레이션 Class A
262,DOX,암독스
263,MIDD,미들비
264,MCFE,맥아피 Class A
265,MKSI,MKS 인스트루먼츠
266,DBX,드랍박스 Class A
267,PFPT,프루프포인트
268,JAZZ,재즈 파마슈티컬스
269,AGNC,AGNC 인베스트먼트
270,LSXMK,리버티 미디어 Series C
271,ZION,자이언스 뱅코프
272,ERIE,이리 인뎀니티 Class A
273,PEGA,페가시스템즈
274,RUN,선런
275,CBSH,커머스 뱅크셰어스
276,PCTY,페일로시티 홀딩
277,FOX,Fox Corp Class B
278,FWONK,리버티 미디어 Series C
279,CGC,Canopy Growth Corp
280,MRVI,마라바이 라이프사이언시스 홀딩스 Class A
281,KC,킹소프트 클라우드 홀딩스 ADR
282,FLEX,플렉스
283,SEIC,SEI 인베스트먼트
284,MLCO,멜코 리조트 & 엔터테인먼트 ADR
285,AZPN,애스펜 테크놀로지
286,GNTX,젠텍스
287,UTHR,유나이티드 테라퓨틱스
288,CONE,사이러스원
289,SYNH,시노스 헬스
290,AXON,액손 엔터프라이스
291,NBIX,뉴로크린 바이오사이언시스
292,NTRA,나테라
293,MANH,맨해튼 어소시에이츠
294,NFE,뉴 포트리스 에너지 Class A
295,ARCC,아레스 캐피털
296,AMED,아메디시스
297,CASY,케이시스 제너럴 스토어스
298,CRSP,CRISPR 테라퓨틱스
299,APA,아파
300,CNXC,콘센트릭스
301,PBCT,피플스 유나이티드 파이낸셜
302,WWD,우드워드
303,LECO,링컨 일렉트릭 홀딩스
304,RGLD,로얄 골드
305,WISH,콘텍스트로직 Class A
306,FSLR,퍼스트 솔라
307,RARE,울트라제닉스 파마슈티컬
308,FLIR,플리어시스템즈
309,ABCL,앱셀레라 바이오로직스
310,MAT,마텔
311,MRTX,미라티 테라퓨틱스
312,ZG,질로우 그룹 Class A
313,CHDN,처칠 다운스
314,TSP,투심플 홀딩스 Class A
315,DOOO,BRP Inc
316,BYND,비욘드 미트
317,FRPT,프레시펫
318,FCNCA,퍼스트 시티즌스 뱅크셰어스 Class A
319,BBIO,브릿지바이오 파머
